params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
252336560693540533935881068298825202077_eps5_s0,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.45343545414937053,0.4132475374181867,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.82844838313758,122.43283875361085,0.20036841370165343,29.788017044961453,139236.68247136884,0.0,232645.8
252336560693540533935881068298825202077_eps5_s1,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.7411692433825865,0.5949200675806338,0.32827173330731885,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.41533828638494,848.2253370285034,0.1971817787736654,36.83870040178299,142736.8129863631,0.0,232645.8
252336560693540533935881068298825202077_eps5_s10,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6520494294319867,0.5610800546914877,0.4109952975988177,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,121.54162325896323,114.68844648562371,0.19913549982011314,30.148559457436203,156516.3614192296,0.0,232645.8
252336560693540533935881068298825202077_eps5_s2,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6205644976541396,0.5749760765739853,0.464664073433232,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.25830500796437,118.31025370433926,0.20421828329563135,30.09199115410447,145620.12139596045,0.0,232645.8
252336560693540533935881068298825202077_eps5_s3,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6197930360994239,0.5731696529001666,0.4638888307518253,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.06028342396021,127.34473423548043,0.2013146240264177,30.159332121536135,146969.9244491186,0.0,232645.8
252336560693540533935881068298825202077_eps5_s4,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6201210095692463,0.5732569370453477,0.4640547329685266,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.47488495782018,126.42392851263284,0.1997483436018228,30.382034442201256,148338.16494041047,0.0,232645.8
252336560693540533935881068298825202077_eps5_s5,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6196417380653723,0.5726601325278903,0.46299456592588395,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.43604276105762,123.294814350456,0.19771322496235366,30.283187222853304,149724.79013164976,0.0,232645.8
252336560693540533935881068298825202077_eps5_s6,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6196426398774812,0.5727813970242371,0.4625943943239249,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.2153660979122,123.4866677146405,0.19928693994879718,30.118800726905466,151082.29647575878,0.0,232645.8
252336560693540533935881068298825202077_eps5_s7,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6195166752886234,0.5726400177189138,0.4628508850079105,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.13352418988943,118.16201746836305,0.19779510535299774,29.842950446903707,152436.39595266432,0.0,232645.8
252336560693540533935881068298825202077_eps5_s8,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6195166752886234,0.5726400177189138,0.4628508850079105,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.77748668156565,126.96451804228127,0.19711108431220054,29.883866746351124,153787.12796365953,0.0,232645.8
252336560693540533935881068298825202077_eps5_s9,BPI2012_C,1.0,13.0,42.0,12.0,1.0,97.4,0.6195166752886234,0.5726400177189138,0.4628508850079105,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.07015223838388,126.12285009436309,0.19921693243086333,29.713542824983598,155150.75641916879,0.0,232645.8
252336560693540533935881068298825202077_eps6_s0,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.45343545414937053,0.4132475374181867,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.29648427478969,122.89012035578489,0.20041028335690494,29.76302521638572,157876.67171448618,0.0,232645.8
252336560693540533935881068298825202077_eps6_s1,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.7424936836022561,0.5973762372606892,0.3305714432051391,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.68349575586618,919.1194595418871,0.20156109444797035,36.8277327042073,161588.3512323115,0.0,232645.8
252336560693540533935881068298825202077_eps6_s10,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.6776333456682402,0.5744152425291389,0.420025173678535,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,122.39171039499342,120.37082783281804,0.19778065681457516,31.152914298698306,175337.24847459124,0.0,232645.8
252336560693540533935881068298825202077_eps6_s2,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.6277781714618945,0.5788366091908188,0.4683202634957818,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,122.28247986696661,121.8522482495755,0.2011369694024324,27.87353239953518,164625.85447279402,0.0,232645.8
252336560693540533935881068298825202077_eps6_s3,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.6271015768335707,0.5772370643669811,0.4676756320804561,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.32505056597293,115.28001021333039,0.2025092095136642,29.662174878269433,165944.2155803088,0.0,232645.8
252336560693540533935881068298825202077_eps6_s4,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.6274295503033932,0.5773199007571541,0.4678392392802409,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.2280896242708,115.52176712118089,0.19861021898686881,30.079622541740537,167271.90792947,0.0,232645.8
252336560693540533935881068298825202077_eps6_s5,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.6269502787995191,0.5767275439947046,0.46689380386263774,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.76224043257534,114.70972501561046,0.19982184693217275,29.866072417795657,168592.38382074237,0.0,232645.8
252336560693540533935881068298825202077_eps6_s6,BPI2012_C,1.0,15.0,42.0,12.0,1.0,97.4,0.6268106263457615,0.576217515054468,0.46666342107287706,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.49068450331688,120.02287222072482,0.19917298108339307,29.873298020660876,169920.93742621952,0.0,232645.8
