params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.nap_eval_duration,metrics.nap_pred_duration,metrics.nap_pred_convert_duration,metrics.nap_n_events_per_second,metrics.rtp_duration,metrics.rtp_eval_duration,metrics.rtp_pred_duration,metrics.rtp_pred_convert_duration,metrics.rtp_n_traces_per_second,metrics.total_run_time,metrics.total_fit_duration,metrics.fit_duration_per_fold,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
249434075403304515778942538411927031175_eps0_s0,Helpdesk,0.1,3.0,,,8.0,2.0,0.8576377376523352,0.3945785020177118,0.9065769112432915,0.008501294673626477,0.14708414499182254,,0.41855140900006516,0.07249857800197787,0.4034845707879867,0.41775446239043956,10313.289524435626,0.576910627190955,0.38870007001096385,0.4664281309989747,0.5764041727932636,8895.839360246082,213570.12385825842,12.40868174599018,2.481736349198036,0.0,482.925
303377968476769062390488935001835493730_eps0_s0,Helpdesk,0.1,3.0,,,8.0,2.0,0.862032629300684,0.46247053960510776,0.9115629425268945,0.002270986059926994,0.1569292689964641,,0.7583105841942597,0.07194838160066866,0.7439555486023892,0.7575170426047407,5569.41671804588,1.269653337006457,0.4079649711959064,1.1551614166004582,1.269013120396994,3586.917053865987,213318.6940239034,12.712968999985605,2.542593799997121,0.0,1472.025
329282092898508953663459985688884254938_eps0_s0,Helpdesk,0.1,3.0,,,8.0,2.0,0.8308787630652393,0.38278943038865865,0.8682026815752385,0.047963011831779055,0.14983468301943503,,0.3735112056019716,0.06946783639723435,0.35776982399984264,0.3727473062055651,11618.83290594704,0.48342111659585496,0.38955135639989746,0.37342384639778176,0.48290386619628406,11121.293804870347,213671.9690434478,12.34765703600715,2.46953140720143,0.0,139.2
17650431200837232124795873198387486985_eps1_s0,Helpdesk,0.1,7.0,,,8.0,2.0,0.27863925915998516,0.3117520422124257,0.6578304768066332,0.002270986059926994,0.1422068749961909,,0.7787439147999976,0.08295027320273221,0.7631271660036874,0.77786980040255,5429.576217548269,0.8889830245869235,0.4129473620094359,0.7712496792082675,0.8882415525906253,5371.792003373067,213459.90768290358,13.070847358001629,2.614169471600326,0.0,1472.025
249434075403304515778942538411927031175_eps1_s0,Helpdesk,0.1,7.0,,,8.0,2.0,0.3868556551056097,0.18893987070605064,0.7536015939945953,0.008501294673626477,0.14708414499182254,,0.43340959840570575,0.06894869060488418,0.4177959022053983,0.43244466180331076,9968.41300342523,0.5108604818000458,0.389074979594443,0.39389685240457767,0.5101797918032389,10534.844688599169,213578.2057453374,12.40868174599018,2.481736349198036,0.0,482.925
303377968476769062390488935001835493730_eps1_s0,Helpdesk,0.1,7.0,,,8.0,2.0,0.27863925915998516,0.3117520422124257,0.6578304768066332,0.002270986059926994,0.1569292689964641,,0.7834464938030579,0.06397325879661367,0.7683779757993762,0.7826553435996175,5398.642389632839,0.8938443688035477,0.41018408319796434,0.785210191400256,0.8933890872111079,5277.654067857723,213331.11168314662,12.712968999985605,2.542593799997121,0.0,1472.025
329282092898508953663459985688884254938_eps1_s0,Helpdesk,0.1,7.0,,,8.0,2.0,0.7012662547912336,0.3284997940684718,0.8248386054175713,0.047963011831779055,0.14983468301943503,,0.3780258597922511,0.08588174080941827,0.36209040799876674,0.37717180960462426,11506.445564854717,0.47127054320299067,0.4053967043990269,0.35369368600659074,0.47048374559381045,11741.049440081679,213679.7395279004,12.34765703600715,2.46953140720143,0.0,139.2
17650431200837232124795873198387486985_eps2_s0,Helpdesk,0.1,11.0,,,8.0,2.0,0.841655602522985,0.45298896382322196,0.8719300958204116,0.002270986059926994,0.1422068749961909,,0.8085317884047981,0.07733934858697467,0.792903177201515,0.8077572969894391,5226.373282343181,0.8851470959896688,0.41913668720517305,0.7668182626075577,0.8845365781977307,5401.274624182539,213471.9038840246,13.070847358001629,2.614169471600326,0.0,1472.025
249434075403304515778942538411927031175_eps2_s0,Helpdesk,0.1,11.0,,,8.0,2.0,0.8413635810709759,0.387155196643676,0.8913052364558591,0.008501294673626477,0.14708414499182254,,0.4406193875998724,0.07813799499999732,0.4250163834018167,0.43974213120527567,9862.861528394376,0.515835172199877,0.38247772379545497,0.4031276507943403,0.5153106276004109,10299.0152619315,213586.3246890686,12.40868174599018,2.481736349198036,0.0,482.925
303377968476769062390488935001835493730_eps2_s0,Helpdesk,0.1,11.0,,,8.0,2.0,0.841655602522985,0.45298896382322196,0.8719300958204116,0.002270986059926994,0.1569292689964641,,0.8003645663906355,0.07235573719954118,0.7869432174076791,0.7995281606039498,5265.9057243763,0.8965118186024483,0.3862184451892972,0.7871780295972712,0.8959418878075667,5283.061270428608,213342.93138967222,12.712968999985605,2.542593799997121,0.0,1472.025
329282092898508953663459985688884254938_eps2_s0,Helpdesk,0.1,11.0,,,8.0,2.0,0.8308787630652393,0.38278943038865865,0.8682991717803945,0.047963011831779055,0.14983468301943503,,0.36633430019719526,0.08034917020704598,0.350741218397161,0.3654059318010695,11822.222046345527,0.45798840699135324,0.4004139060038142,0.34581860140315257,0.45748003799817527,12010.251495927052,213687.364383491,12.34765703600715,2.46953140720143,0.0,139.2
17650431200837232124795873198387486985_eps3_s0,Helpdesk,0.1,15.0,,,8.0,2.0,0.858409470808167,0.4608095180507809,0.9091447601172075,0.002270986059926994,0.1422068749961909,,0.8445410085958429,0.07499394280603155,0.8288571533979848,0.8435892865993082,4999.606331893765,0.9685961843992118,0.41728148800320924,0.850855056400178,0.9680933639931026,4872.780602636537,213484.09878289202,13.070847358001629,2.614169471600326,0.0,1472.025
249434075403304515778942538411927031175_eps3_s0,Helpdesk,0.1,15.0,,,8.0,2.0,0.8546909668825219,0.3933616281157013,0.9046560033413382,0.008501294673626477,0.14708414499182254,,0.4208221086009871,0.08547206241055391,0.40520870860200375,0.4199264140042942,10257.422900533773,0.510094808798749,0.39281249399646184,0.392201884399401,0.5095835200103466,10588.406263130546,213594.2297925416,12.40868174599018,2.481736349198036,0.0,482.925
303377968476769062390488935001835493730_eps3_s0,Helpdesk,0.1,15.0,,,8.0,2.0,0.858409470808167,0.4608095180507809,0.9091447601172075,0.002270986059926994,0.1569292689964641,,0.8731424410070758,0.08477835919475182,0.8576741014025174,0.872259366203798,4832.647172459832,0.9733450230036397,0.39666151940473354,0.8568012591975276,0.9727530240023043,4851.1506527590445,213355.26819238317,12.712968999985605,2.542593799997121,0.0,1472.025
