params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
204856358341536816138399558242345199755_0,BPI2012_C,1.0,3.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.18891858007400625,0.9817192542692293,0.9703603709411827,0.964142721729967,0.9554431751945927,0.9220130681401294,0.8820391549851632,0.8397958927035669,3.3761921024480055e-05,2.430069589987397,925.3446994709957,109.49776755259373,1085.1837106432008,0.07638742640265264,41.79139668039861,4592.048162897607,0.0,232645.8
204856358341536816138399558242345199755_1,BPI2012_C,1.0,5.0,1.0,97.4,0.514593140330974,0.46119101579507726,0.40944389660246217,0.9340191715809834,0.8794939378659183,0.824911766451482,0.7270720714439077,0.5726480376596236,0.4912080774204326,0.44989504328151053,3.3761921024480055e-05,2.430069589987397,925.3446994709957,112.07516258680843,124.56736500860424,0.07428388239932246,28.088448347599478,7903.271600865398,0.0,232645.8
204856358341536816138399558242345199755_2,BPI2012_C,1.0,7.0,1.0,97.4,0.5853293914232801,0.521035895084986,0.42623589122298533,0.9510613475782064,0.900499990345122,0.8544169545178522,0.7685271822167018,0.6171317017021218,0.5387392497308656,0.49811462975122434,3.3761921024480055e-05,2.430069589987397,925.3446994709957,108.44494670320418,131.5172405961959,0.07625978959258646,29.895964874204946,9256.897755938402,0.0,232645.8
204856358341536816138399558242345199755_3,BPI2012_C,1.0,11.0,1.0,97.4,0.6477227041955567,0.5724510379408395,0.45886953845827644,0.960440306089937,0.9161258204059497,0.8703120469147342,0.7843957880838026,0.6303949102439104,0.5442217361096106,0.5005560847493201,3.3761921024480055e-05,2.430069589987397,925.3446994709957,115.70677884460311,123.56581306660082,0.07428994540823623,29.09725716499961,10602.501758689003,0.0,232645.8
204856358341536816138399558242345199755_4,BPI2012_C,1.0,17.0,1.0,97.4,0.6758669852029895,0.5609236012496077,0.47787442519958023,0.9615767380665019,0.9234590728169512,0.8797260274679276,0.8009320638801262,0.6619261279832678,0.571933260340131,0.5258030136197728,3.3761921024480055e-05,2.430069589987397,925.3446994709957,115.99721864799503,131.35876497278804,0.07448433039826341,30.08301802240312,11942.447559459199,0.0,232645.8
204856358341536816138399558242345199755_5,BPI2012_C,1.0,21.0,1.0,97.4,0.6698664741893282,0.573304498826072,0.47407148807457916,0.9602437888906966,0.9211927207658228,0.8783193166364501,0.7995672539060881,0.6574167319966169,0.5664547740846771,0.5206751130170006,3.3761921024480055e-05,2.430069589987397,925.3446994709957,124.60710405340069,137.79158943260555,0.08772403800394386,35.9607383919938,13355.468516273202,0.0,232645.8
252336560693540533935881068298825202077_0,BPI2012_Full,0.0,3.0,176.0,1.0,0.8427584049153072,0.6695962415981402,0.23438329964223176,0.9915006818509446,0.9821393164989516,0.9746333318060966,0.9610870940859405,0.9166022038536313,0.863338467085865,0.8048052058967059,0.00010170720861286657,5.631079238002712,167.26587339899925,195.47755533460003,324.46688958319936,0.08775332200093544,47.628123328401124,1880.4690276048009,0.0,2448.3136512941796
252336560693540533935881068298825202077_1,BPI2012_Full,0.0,5.0,176.0,1.0,0.5724202204988789,0.5892888116216219,0.32577480586108404,0.9636587497128015,0.9226511100258366,0.8800283760351165,0.8055985641204538,0.6703438431253719,0.5728170367372305,0.5003978963531874,0.00010170720861286657,5.631079238002712,167.26587339899925,198.03262961920046,204.70139504700055,0.08487338019913296,38.55307914999939,4327.563250370401,0.0,2448.3136512941796
252336560693540533935881068298825202077_2,BPI2012_Full,0.0,7.0,176.0,1.0,0.6983355290095508,0.6516632061270176,0.3740764353768491,0.9772677503737841,0.9416032916757227,0.9075747355441734,0.843511191431069,0.715612572448825,0.6167829835664973,0.5397758556793709,0.00010170720861286657,5.631079238002712,167.26587339899925,196.84056994159909,206.51523883760018,0.0861879662013962,42.31981232759936,6551.404909014001,0.0,2448.3136512941796
252336560693540533935881068298825202077_3,BPI2012_Full,0.0,11.0,176.0,1.0,0.7783485412483085,0.6782263536329722,0.40517905697408263,0.9835856717220924,0.958266804664173,0.9286858590099589,0.8738859520695478,0.7579972202872692,0.663438267873237,0.5925531579780635,0.00010170720861286657,5.631079238002712,167.26587339899925,200.2577986789991,208.29408024739968,0.09176872800017008,44.955565303799816,8806.415087107202,0.0,2448.3136512941796
