approach,params.dataset,training_duration_for_eval,inference_duration_for_eval,metrics.nap_accuracy,metrics.rtp_similarity
Spoel,BPI2017_Full,120.27302217303077,49.22486354701687,0.6569324933519574,0.3207730561825802
Spoel,BPI2012_WC,26.39878420601599,1.2385078340303153,0.19345274113518093,0.3290494047413192
Spoel,BPI2012_WC,26.39878420601599,1.1449006110196933,0.1928276380022531,0.3330206011158337
Spoel,BPI2012_WC,26.39878420601599,1.2093003499903716,0.19300638601277204,0.33111704894083627
Spoel,BPI2012_WC,26.39878420601599,1.2760019779670984,0.18430073790018012,0.31876492702004205
Spoel,BPI2012_WC,26.39878420601599,1.276260241982527,0.19153263080051766,0.3291652378234172
Spoel,BPI2012_C,37.45569334499305,3.296218142961152,0.41876353004020356,0.33116590647811145
Spoel,BPI2012_C,37.45569334499305,3.2127792480168864,0.42121082009446115,0.33439565880896105
Spoel,BPI2012_C,37.45569334499305,3.603396577993408,0.41522125861685566,0.3265518961627039
Spoel,BPI2012_C,37.45569334499305,3.1405453060287982,0.41839164169070897,0.3306682377435903
Spoel,BPI2012_C,37.45569334499305,3.2552389340125956,0.42542076132384504,0.3351348195663011
Spoel,BPI2012_W,27.413154857000336,5.077566858031787,0.4819672131147541,0.2547383263890758
Spoel,BPI2012_W,27.413154857000336,4.486796115001198,0.48502702857306296,0.2622984809658244
Spoel,BPI2012_W,27.413154857000336,5.251684578019194,0.48467856131407533,0.26034070369989115
Spoel,BPI2012_W,27.413154857000336,5.2717730649746954,0.48045166591565724,0.24681536888604638
Spoel,BPI2012_W,27.413154857000336,5.266506857005879,0.4851141809980265,0.25879556221434274
Spoel,BPI2012_Full,41.70441825699527,9.286567810981069,0.5254264913615125,0.25378442689299413
Spoel,BPI2012_Full,41.70441825699527,8.85656161600491,0.5271289246142217,0.2564608839245065
Spoel,BPI2012_Full,41.70441825699527,9.800147901987657,0.522696306920043,0.2509812608746897
Spoel,BPI2012_Full,41.70441825699527,9.046086210000794,0.5249035236412162,0.2529754316891627
Spoel,BPI2012_Full,41.70441825699527,9.00056717399275,0.5268161336410595,0.25738221613426476
Spoel,Nasa,8.874179603997618,1.5831153190229088,0.3800026416589618,0.25244724938860424
Spoel,Nasa,8.874179603997618,1.540260698995553,0.3845042678923178,0.2541308036747594
Spoel,Nasa,8.874179603997618,1.516119620995596,0.3835365054397693,0.25369866958283344
Spoel,Nasa,8.874179603997618,1.613257988996338,0.38116185793763746,0.2522411331737346
Spoel,Nasa,8.874179603997618,1.521134629030712,0.3821778248213813,0.2541463759769507
Spoel,Sepsis,3.1137157510383986,0.7435112420353107,0.275515895147797,0.27900270245410314
Spoel,Sepsis,3.1137157510383986,0.31987657299032435,0.315440479949479,0.31940588812788584
Spoel,Sepsis,3.1137157510383986,0.3747518689488061,0.34051583414952663,0.33003654038235325
Spoel,Sepsis,3.1137157510383986,0.504428556014318,0.30654761904761907,0.30616830611452756
Spoel,Sepsis,3.1137157510383986,0.27534148999257013,0.34998367613450865,0.3401535355272158
Spoel,EnvPermit,3.669503259996418,0.14840689004631713,0.801522842639594,0.7525396532898774
Spoel,EnvPermit,3.669503259996418,0.13493121200008318,0.8,0.7602136450810699
Spoel,EnvPermit,3.669503259996418,0.13698437897255644,0.8055555555555556,0.7511094140246452
Spoel,EnvPermit,3.669503259996418,0.13892591296462342,0.7818991097922848,0.7233441919269351
Spoel,EnvPermit,3.669503259996418,0.15664986101910472,0.7946653246099648,0.7444158374420213
Spoel,BPI2013_Incidents,18.91410774597898,1.870789230975788,0.540179806362379,0.5744429232746964
Spoel,BPI2013_Incidents,18.91410774597898,1.3680870810057968,0.5332538420773715,0.5594232966792106
Spoel,BPI2013_Incidents,18.91410774597898,1.7673713939730078,0.5406022845275181,0.5765626250027147
Spoel,BPI2013_Incidents,18.91410774597898,1.2472614559810609,0.5424439320897086,0.577284745345231
